id,driver_id,start_ts,end_ts,vehicle_id,ambulatory_riders,handicapped_riders,total_riders,status,updated_at
138922,11,2/18/22 20:31,2/18/22 22:12,42,3,1,4,Completed,2/18/22 22:12
138920,33,2/18/22 20:51,2/18/22 21:39,41,2,0,2,Completed,2/18/22 21:39
138913,23,2/18/22 13:30,2/18/22 15:42,72,2,1,3,Completed,2/18/22 19:14
138912,11,2/18/22 13:16,2/18/22 14:56,42,3,1,4,Completed,2/18/22 19:14
138909,24,2/18/22 11:02,2/18/22 13:06,71,5,0,5,Completed,2/18/22 19:14
138906,33,2/18/22 11:40,2/18/22 13:17,41,4,1,5,Completed,2/18/22 19:14
138904,11,2/18/22 11:11,2/18/22 13:14,42,5,0,5,Completed,2/18/22 19:14
138847,21,2/23/22 11:16,2/23/22 13:47,85,7,0,7,Completed,2/23/22 13:47
138847,21,2/23/22 11:16,2/23/22 13:47,85,7,0,7,Completed,7/24/22 0:50
138844,2190,2/24/22 20:02,2/24/22 21:42,46,7,0,7,Completed,2/24/22 21:42
138844,2190,2/24/22 20:02,2/24/22 21:42,46,7,0,7,Completed,7/24/22 0:50
138827,45,2/22/22 1:00,2/22/22 1:58,42,0,1,1,Completed,2/22/22 1:58
138827,45,2/22/22 1:00,2/22/22 1:58,42,0,1,1,Completed,7/24/22 0:50
138807,15392,2/24/22 14:18,2/24/22 14:36,7,1,0,1,Completed,2/24/22 14:36
138807,15392,2/24/22 14:18,2/24/22 14:36,7,1,0,1,Completed,7/24/22 0:50
138796,15392,2/22/22 17:23,2/22/22 17:51,7,1,0,1,Completed,2/22/22 17:51
138796,15392,2/22/22 17:23,2/22/22 17:51,7,1,0,1,Completed,7/24/22 0:50
138793,15392,2/22/22 16:09,2/22/22 16:16,7,1,0,1,Completed,2/22/22 16:16
138793,15392,2/22/22 16:09,2/22/22 16:16,7,1,0,1,Completed,7/24/22 0:50
138787,15392,2/25/22 14:46,2/25/22 15:21,7,1,0,1,Completed,2/25/22 15:21
138787,15392,2/25/22 14:46,2/25/22 15:21,7,1,0,1,Completed,7/24/22 0:49
138788,15392,2/25/22 18:43,2/25/22 19:06,7,1,0,1,Completed,2/25/22 19:06
138788,15392,2/25/22 18:43,2/25/22 19:06,7,1,0,1,Completed,7/24/22 0:49
138789,15392,2/25/22 21:24,2/25/22 21:39,7,1,0,1,Completed,2/25/22 21:39
138789,15392,2/25/22 21:24,2/25/22 21:39,7,1,0,1,Completed,7/24/22 0:49
138782,15392,2/26/22 17:17,2/26/22 17:41,7,1,0,1,Completed,2/26/22 17:41
138782,15392,2/26/22 17:17,2/26/22 17:41,7,1,0,1,Completed,7/24/22 0:49
138778,6,2/23/22 19:57,2/23/22 20:34,43,1,1,2,Completed,2/23/22 20:34
138778,6,2/23/22 19:57,2/23/22 20:34,43,1,1,2,Completed,7/24/22 0:49
138780,16576,2/23/22 23:47,2/24/22 0:32,253,1,0,1,Completed,2/24/22 0:32
138780,16576,2/23/22 23:47,2/24/22 0:32,253,1,0,1,Completed,7/24/22 0:49
138773,15392,2/23/22 10:15,2/23/22 10:25,7,1,0,1,Completed,2/23/22 10:25
138773,15392,2/23/22 10:15,2/23/22 10:25,7,1,0,1,Completed,7/24/22 0:49
